date,temperature_2m,n_valid_hours,first_legal_observation_time,last_legal_observation_time
2012-01-01,6.752882565217392,23,2012-01-01T01:00:00+00:00,2012-01-01T23:00:00+00:00
2012-01-02,6.7778387916666665,24,2012-01-02T00:00:00+00:00,2012-01-02T23:00:00+00:00
2012-01-03,6.761661083333333,24,2012-01-03T00:00:00+00:00,2012-01-03T23:00:00+00:00
2012-01-04,6.760307291666667,24,2012-01-04T00:00:00+00:00,2012-01-04T23:00:00+00:00
2012-01-05,6.733351125,24,2012-01-05T00:00:00+00:00,2012-01-05T23:00:00+00:00
2012-01-06,6.596411083333333,24,2012-01-06T00:00:00+00:00,2012-01-06T23:00:00+00:00
2012-01-07,6.572854958333333,24,2012-01-07T00:00:00+00:00,2012-01-07T23:00:00+00:00
2012-01-08,6.47284025,24,2012-01-08T00:00:00+00:00,2012-01-08T23:00:00+00:00
2012-01-09,6.435923125,24,2012-01-09T00:00:00+00:00,2012-01-09T23:00:00+00:00
2012-01-10,6.3112769166666665,24,2012-01-10T00:00:00+00:00,2012-01-10T23:00:00+00:00
2012-01-11,6.305078458333333,24,2012-01-11T00:00:00+00:00,2012-01-11T23:00:00+00:00
2012-01-12,6.441537375,24,2012-01-12T00:00:00+00:00,2012-01-12T23:00:00+00:00
2012-01-13,6.460559791666666,24,2012-01-13T00:00:00+00:00,2012-01-13T23:00:00+00:00
2012-01-14,6.479113125,24,2012-01-14T00:00:00+00:00,2012-01-14T23:00:00+00:00
2012-01-15,6.461467416666666,24,2012-01-15T00:00:00+00:00,2012-01-15T23:00:00+00:00
2012-01-16,6.4318898749999995,24,2012-01-16T00:00:00+00:00,2012-01-16T23:00:00+00:00
2012-01-17,6.39923675,24,2012-01-17T00:00:00+00:00,2012-01-17T23:00:00+00:00
2012-01-18,6.232683708333333,24,2012-01-18T00:00:00+00:00,2012-01-18T23:00:00+00:00
2012-01-19,6.117101416666666,24,2012-01-19T00:00:00+00:00,2012-01-19T23:00:00+00:00
2012-01-20,5.844218583333333,24,2012-01-20T00:00:00+00:00,2012-01-20T23:00:00+00:00
2012-01-21,5.797909875,24,2012-01-21T00:00:00+00:00,2012-01-21T23:00:00+00:00
2012-01-22,5.787996041666667,24,2012-01-22T00:00:00+00:00,2012-01-22T23:00:00+00:00
2012-01-23,5.838213125,24,2012-01-23T00:00:00+00:00,2012-01-23T23:00:00+00:00
2012-01-24,5.854271041666666,24,2012-01-24T00:00:00+00:00,2012-01-24T23:00:00+00:00
2012-01-25,5.786282166666667,24,2012-01-25T00:00:00+00:00,2012-01-25T23:00:00+00:00
2012-01-26,5.855738333333333,24,2012-01-26T00:00:00+00:00,2012-01-26T23:00:00+00:00
2012-01-27,5.866499583333333,24,2012-01-27T00:00:00+00:00,2012-01-27T23:00:00+00:00
2012-01-28,5.941929541666667,24,2012-01-28T00:00:00+00:00,2012-01-28T23:00:00+00:00
2012-01-29,5.895408916666667,24,2012-01-29T00:00:00+00:00,2012-01-29T23:00:00+00:00
2012-01-30,5.790311125,24,2012-01-30T00:00:00+00:00,2012-01-30T23:00:00+00:00
2012-01-31,5.615417,24,2012-01-31T00:00:00+00:00,2012-01-31T23:00:00+00:00
2012-02-01,5.4742642083333335,24,2012-02-01T00:00:00+00:00,2012-02-01T23:00:00+00:00
2012-02-02,5.586467791666666,24,2012-02-02T00:00:00+00:00,2012-02-02T23:00:00+00:00
2012-02-03,5.591742208333334,24,2012-02-03T00:00:00+00:00,2012-02-03T23:00:00+00:00
2012-02-04,5.459674833333334,24,2012-02-04T00:00:00+00:00,2012-02-04T23:00:00+00:00
2012-02-05,5.388731083333333,24,2012-02-05T00:00:00+00:00,2012-02-05T23:00:00+00:00
2012-02-06,5.287265041666666,24,2012-02-06T00:00:00+00:00,2012-02-06T23:00:00+00:00
2012-02-07,5.115988958333333,24,2012-02-07T00:00:00+00:00,2012-02-07T23:00:00+00:00
2012-02-08,5.064374791666666,24,2012-02-08T00:00:00+00:00,2012-02-08T23:00:00+00:00
2012-02-09,5.0755238333333335,24,2012-02-09T00:00:00+00:00,2012-02-09T23:00:00+00:00
2012-02-10,4.973095333333333,24,2012-02-10T00:00:00+00:00,2012-02-10T23:00:00+00:00
2012-02-11,4.9242999166666666,24,2012-02-11T00:00:00+00:00,2012-02-11T23:00:00+00:00
2012-02-12,4.835717041666666,24,2012-02-12T00:00:00+00:00,2012-02-12T23:00:00+00:00
2012-02-13,4.827496083333333,24,2012-02-13T00:00:00+00:00,2012-02-13T23:00:00+00:00
2012-02-14,4.803460375,24,2012-02-14T00:00:00+00:00,2012-02-14T23:00:00+00:00
2012-02-15,4.809518791666667,24,2012-02-15T00:00:00+00:00,2012-02-15T23:00:00+00:00
2012-02-16,4.841960375,24,2012-02-16T00:00:00+00:00,2012-02-16T23:00:00+00:00
2012-02-17,4.850035583333334,24,2012-02-17T00:00:00+00:00,2012-02-17T23:00:00+00:00
2012-02-18,4.750394541666667,24,2012-02-18T00:00:00+00:00,2012-02-18T23:00:00+00:00
2012-02-19,4.70997025,24,2012-02-19T00:00:00+00:00,2012-02-19T23:00:00+00:00
2012-02-20,4.675199166666666,24,2012-02-20T00:00:00+00:00,2012-02-20T23:00:00+00:00
2012-02-21,4.851075875,24,2012-02-21T00:00:00+00:00,2012-02-21T23:00:00+00:00
2012-02-22,4.88121325,24,2012-02-22T00:00:00+00:00,2012-02-22T23:00:00+00:00
2012-02-23,4.886761333333333,24,2012-02-23T00:00:00+00:00,2012-02-23T23:00:00+00:00
2012-02-24,5.185404833333333,24,2012-02-24T00:00:00+00:00,2012-02-24T23:00:00+00:00
2012-02-25,5.296474875,24,2012-02-25T00:00:00+00:00,2012-02-25T23:00:00+00:00
2012-02-26,5.330617458333333,24,2012-02-26T00:00:00+00:00,2012-02-26T23:00:00+00:00
2012-02-27,5.330127125,24,2012-02-27T00:00:00+00:00,2012-02-27T23:00:00+00:00
2012-02-28,5.334374625,24,2012-02-28T00:00:00+00:00,2012-02-28T23:00:00+00:00
2012-02-29,5.621366583333334,24,2012-02-29T00:00:00+00:00,2012-02-29T23:00:00+00:00
2012-03-01,5.76021775,24,2012-03-01T00:00:00+00:00,2012-03-01T23:00:00+00:00
2012-03-02,6.0562635,24,2012-03-02T00:00:00+00:00,2012-03-02T23:00:00+00:00
2012-03-03,5.89549625,24,2012-03-03T00:00:00+00:00,2012-03-03T23:00:00+00:00
2012-03-04,5.734275875,24,2012-03-04T00:00:00+00:00,2012-03-04T23:00:00+00:00
2012-03-05,5.82829925,24,2012-03-05T00:00:00+00:00,2012-03-05T23:00:00+00:00
2012-03-06,5.865560416666667,24,2012-03-06T00:00:00+00:00,2012-03-06T23:00:00+00:00
2012-03-07,5.775636333333334,24,2012-03-07T00:00:00+00:00,2012-03-07T23:00:00+00:00
2012-03-08,5.788158875000001,24,2012-03-08T00:00:00+00:00,2012-03-08T23:00:00+00:00
2012-03-09,5.781242041666667,24,2012-03-09T00:00:00+00:00,2012-03-09T23:00:00+00:00
2012-03-10,5.896920458333334,24,2012-03-10T00:00:00+00:00,2012-03-10T23:00:00+00:00
2012-03-11,6.0064795,24,2012-03-11T00:00:00+00:00,2012-03-11T23:00:00+00:00
2012-03-12,6.1352485833333334,24,2012-03-12T00:00:00+00:00,2012-03-12T23:00:00+00:00
2012-03-13,6.292941291666667,24,2012-03-13T00:00:00+00:00,2012-03-13T23:00:00+00:00
2012-03-14,6.360114416666667,24,2012-03-14T00:00:00+00:00,2012-03-14T23:00:00+00:00
2012-03-15,6.249595083333333,24,2012-03-15T00:00:00+00:00,2012-03-15T23:00:00+00:00
2012-03-16,6.234871875,24,2012-03-16T00:00:00+00:00,2012-03-16T23:00:00+00:00
2012-03-17,6.2703905833333335,24,2012-03-17T00:00:00+00:00,2012-03-17T23:00:00+00:00
2012-03-18,6.645286708333334,24,2012-03-18T00:00:00+00:00,2012-03-18T23:00:00+00:00
2012-03-19,6.678377875,24,2012-03-19T00:00:00+00:00,2012-03-19T23:00:00+00:00
2012-03-20,6.300852791666666,24,2012-03-20T00:00:00+00:00,2012-03-20T23:00:00+00:00
2012-03-21,6.598949041666667,24,2012-03-21T00:00:00+00:00,2012-03-21T23:00:00+00:00
2012-03-22,6.737386416666666,24,2012-03-22T00:00:00+00:00,2012-03-22T23:00:00+00:00
2012-03-23,7.139509458333333,24,2012-03-23T00:00:00+00:00,2012-03-23T23:00:00+00:00
2012-03-24,7.61835825,24,2012-03-24T00:00:00+00:00,2012-03-24T23:00:00+00:00
2012-03-25,8.121540166666668,24,2012-03-25T00:00:00+00:00,2012-03-25T23:00:00+00:00
2012-03-26,8.562341541666667,24,2012-03-26T00:00:00+00:00,2012-03-26T23:00:00+00:00
2012-03-27,8.954408208333334,24,2012-03-27T00:00:00+00:00,2012-03-27T23:00:00+00:00
2012-03-28,9.509055916666666,24,2012-03-28T00:00:00+00:00,2012-03-28T23:00:00+00:00
2012-03-29,9.777721333333334,24,2012-03-29T00:00:00+00:00,2012-03-29T23:00:00+00:00
2012-03-30,9.869388458333333,24,2012-03-30T00:00:00+00:00,2012-03-30T23:00:00+00:00
