date,temperature_2m,n_valid_hours,first_legal_observation_time,last_legal_observation_time
2016-01-01,7.843529565217391,23,2016-01-01T01:00:00+00:00,2016-01-01T23:00:00+00:00
2016-01-02,7.827633333333333,24,2016-01-02T00:00:00+00:00,2016-01-02T23:00:00+00:00
2016-01-03,7.819900416666667,24,2016-01-03T00:00:00+00:00,2016-01-03T23:00:00+00:00
2016-01-04,7.81928,24,2016-01-04T00:00:00+00:00,2016-01-04T23:00:00+00:00
2016-01-05,7.819047916666666,24,2016-01-05T00:00:00+00:00,2016-01-05T23:00:00+00:00
2016-01-06,7.747517083333333,24,2016-01-06T00:00:00+00:00,2016-01-06T23:00:00+00:00
2016-01-07,7.619174166666666,24,2016-01-07T00:00:00+00:00,2016-01-07T23:00:00+00:00
2016-01-08,7.5796037499999995,24,2016-01-08T00:00:00+00:00,2016-01-08T23:00:00+00:00
2016-01-09,7.496582916666667,24,2016-01-09T00:00:00+00:00,2016-01-09T23:00:00+00:00
2016-01-10,7.396890833333333,24,2016-01-10T00:00:00+00:00,2016-01-10T23:00:00+00:00
2016-01-11,7.356044166666667,24,2016-01-11T00:00:00+00:00,2016-01-11T23:00:00+00:00
2016-01-12,7.27295625,24,2016-01-12T00:00:00+00:00,2016-01-12T23:00:00+00:00
2016-01-13,7.159054166666667,24,2016-01-13T00:00:00+00:00,2016-01-13T23:00:00+00:00
2016-01-14,7.104338333333334,24,2016-01-14T00:00:00+00:00,2016-01-14T23:00:00+00:00
2016-01-15,6.97151125,24,2016-01-15T00:00:00+00:00,2016-01-15T23:00:00+00:00
2016-01-16,6.906013333333333,24,2016-01-16T00:00:00+00:00,2016-01-16T23:00:00+00:00
2016-01-17,6.741127916666667,24,2016-01-17T00:00:00+00:00,2016-01-17T23:00:00+00:00
2016-01-18,6.70572,24,2016-01-18T00:00:00+00:00,2016-01-18T23:00:00+00:00
2016-01-19,6.705065833333333,24,2016-01-19T00:00:00+00:00,2016-01-19T23:00:00+00:00
2016-01-20,6.58438,24,2016-01-20T00:00:00+00:00,2016-01-20T23:00:00+00:00
2016-01-21,6.477965833333333,24,2016-01-21T00:00:00+00:00,2016-01-21T23:00:00+00:00
2016-01-22,6.47935,24,2016-01-22T00:00:00+00:00,2016-01-22T23:00:00+00:00
2016-01-23,6.40810625,24,2016-01-23T00:00:00+00:00,2016-01-23T23:00:00+00:00
2016-01-24,6.421645416666666,24,2016-01-24T00:00:00+00:00,2016-01-24T23:00:00+00:00
2016-01-25,6.407753333333333,24,2016-01-25T00:00:00+00:00,2016-01-25T23:00:00+00:00
2016-01-26,6.468812083333333,24,2016-01-26T00:00:00+00:00,2016-01-26T23:00:00+00:00
2016-01-27,6.537737083333333,24,2016-01-27T00:00:00+00:00,2016-01-27T23:00:00+00:00
2016-01-28,6.502299166666667,24,2016-01-28T00:00:00+00:00,2016-01-28T23:00:00+00:00
2016-01-29,6.647893333333333,24,2016-01-29T00:00:00+00:00,2016-01-29T23:00:00+00:00
2016-01-30,6.543020833333333,24,2016-01-30T00:00:00+00:00,2016-01-30T23:00:00+00:00
2016-01-31,6.486215416666667,24,2016-01-31T00:00:00+00:00,2016-01-31T23:00:00+00:00
2016-02-01,6.559365416666667,24,2016-02-01T00:00:00+00:00,2016-02-01T23:00:00+00:00
2016-02-02,6.48633625,24,2016-02-02T00:00:00+00:00,2016-02-02T23:00:00+00:00
2016-02-03,6.483488333333333,24,2016-02-03T00:00:00+00:00,2016-02-03T23:00:00+00:00
2016-02-04,6.482570833333333,24,2016-02-04T00:00:00+00:00,2016-02-04T23:00:00+00:00
2016-02-05,6.4822425,24,2016-02-05T00:00:00+00:00,2016-02-05T23:00:00+00:00
2016-02-06,6.482164583333334,24,2016-02-06T00:00:00+00:00,2016-02-06T23:00:00+00:00
2016-02-07,6.4671075,24,2016-02-07T00:00:00+00:00,2016-02-07T23:00:00+00:00
2016-02-08,6.445080833333333,24,2016-02-08T00:00:00+00:00,2016-02-08T23:00:00+00:00
2016-02-09,6.358504583333334,24,2016-02-09T00:00:00+00:00,2016-02-09T23:00:00+00:00
2016-02-10,6.297905,24,2016-02-10T00:00:00+00:00,2016-02-10T23:00:00+00:00
