date,temperature_1m,temperature_2m,n_hours_1m,n_hours_2m,difference_1m_minus_2m
2008-01-01,6.09245652173913,6.0946043478260865,23,23,-0.002147826086956073
2008-01-02,6.0653625,6.088754166666667,24,24,-0.02339166666666692
2008-01-03,5.985908333333334,6.009875,24,24,-0.02396666666666647
2008-01-04,5.8827,5.9034458333333335,24,24,-0.020745833333333685
2008-01-05,5.818576,5.834604,25,25,-0.016027999999999487
2008-01-06,5.756379166666667,5.773104166666666,24,24,-0.016724999999999213
2008-01-07,5.630879166666666,5.649970833333334,24,24,-0.019091666666667173
2008-01-08,5.563154166666667,5.576708333333333,24,24,-0.013554166666666312
2008-01-09,5.501795833333333,5.521170833333334,24,24,-0.019375000000000142
2008-01-10,5.47695,5.488825,24,24,-0.011874999999999858
2008-01-11,5.444695833333333,5.467670833333333,24,24,-0.022974999999999746
2008-01-12,5.390325,5.4150583333333335,24,24,-0.024733333333333718
2008-01-13,5.368345833333334,5.375583333333333,24,24,-0.007237499999999564
2008-01-14,5.3723374999999995,5.380545833333334,24,24,-0.00820833333333404
2008-01-15,5.3640375,5.374616666666666,24,24,-0.01057916666666614
2008-01-16,5.367283333333333,5.383091666666667,24,24,-0.01580833333333409
2008-01-17,5.337795833333333,5.355108333333333,24,24,-0.017312500000000064
2008-01-18,5.370745833333333,5.378895833333333,24,24,-0.008149999999999658
2008-01-19,5.4371625,5.446525,24,24,-0.00936249999999994
2008-01-20,5.4817833333333335,5.489741666666666,24,24,-0.007958333333332845
2008-01-21,5.4637,5.479541666666667,24,24,-0.015841666666666754
2008-01-22,5.422420833333334,5.4487375,24,24,-0.026316666666666322
2008-01-23,5.4663375,5.4781375,24,24,-0.011800000000000033
2008-01-24,5.5097708333333335,5.526254166666667,24,24,-0.016483333333333405
2008-01-25,5.519145833333333,5.528941666666666,24,24,-0.009795833333333448
2008-01-26,5.585258333333333,5.590833333333333,24,24,-0.00557500000000033
2008-01-27,5.622866666666667,5.631308333333333,24,24,-0.008441666666666237
2008-01-28,5.640420833333334,5.646066666666667,24,24,-0.00564583333333335
2008-01-29,5.677691666666667,5.688608333333333,24,24,-0.010916666666665797
2008-01-30,5.661029166666666,5.677683333333333,24,24,-0.01665416666666708
2008-01-31,5.6560041666666665,5.6736375,24,24,-0.01763333333333339
2008-02-01,5.583433333333334,5.614316666666666,24,24,-0.030883333333332708
2008-02-02,5.5115875,5.5337125,24,24,-0.02212499999999995
2008-02-03,5.461879166666667,5.4804208333333335,24,24,-0.01854166666666668
2008-02-04,5.398854166666666,5.417008333333333,24,24,-0.018154166666667138
2008-02-05,5.375875,5.392783333333333,24,24,-0.016908333333333303
2008-02-06,5.3576500000000005,5.38005,24,24,-0.02239999999999931
2008-02-07,5.333945833333333,5.345670833333333,24,24,-0.011725000000000207
2008-02-08,5.324425,5.3352916666666665,24,24,-0.010866666666666802
2008-02-09,5.386779166666667,5.371370833333334,24,24,0.015408333333333246
2008-02-10,5.369695833333333,5.386141666666667,24,24,-0.016445833333333937
2008-02-11,5.35855,5.367516666666667,24,24,-0.00896666666666679
2008-02-12,5.377245833333333,5.353604166666667,24,24,0.02364166666666634
2008-02-13,5.354016666666666,5.3352208333333335,24,24,0.0187958333333329
2008-02-14,5.249745833333333,5.270975,24,24,-0.021229166666667076
2008-02-15,5.24415,5.262254166666667,24,24,-0.018104166666666366
2008-02-16,5.210008333333334,5.2229833333333335,24,24,-0.012974999999999959
2008-02-17,5.227445833333333,5.203941666666666,24,24,0.023504166666667103
2008-02-18,5.131058333333334,5.144825,24,24,-0.01376666666666626
2008-02-19,5.103275,5.115966666666667,24,24,-0.01269166666666699
2008-02-20,5.0109916666666665,5.037425,24,24,-0.02643333333333331
2008-02-21,4.966783333333333,4.9795625,24,24,-0.01277916666666723
2008-02-22,4.984083333333333,4.99515,24,24,-0.011066666666666336
2008-02-23,5.008145833333334,5.017545833333333,24,24,-0.009399999999999409
2008-02-24,5.103083333333333,5.1112416666666665,24,24,-0.008158333333333267
2008-02-25,5.070608333333333,5.087875,24,24,-0.017266666666666985
2008-02-26,5.105483333333334,5.1210875,24,24,-0.015604166666665975
2008-02-27,5.165983333333333,5.183491666666667,24,24,-0.01750833333333368
2008-02-28,5.178233333333333,5.199883333333333,24,24,-0.02165000000000017
2008-02-29,5.2053125,5.221575,24,24,-0.016262499999999847
2008-03-01,5.266854166666667,5.280733333333333,24,24,-0.013879166666666443
2008-03-02,5.3337,5.3447708333333335,24,24,-0.011070833333333141
2008-03-03,5.305720833333333,5.331325,24,24,-0.02560416666666665
2008-03-04,5.3197875,5.339979166666667,24,24,-0.020191666666666386
2008-03-05,5.322175,5.339425,24,24,-0.017250000000000654
2008-03-06,5.327658333333333,5.337154166666667,24,24,-0.009495833333334147
2008-03-07,5.3838,5.3965250000000005,24,24,-0.012725000000000541
2008-03-08,5.42355,5.4395875,24,24,-0.01603750000000037
2008-03-09,5.4445041666666665,5.4610666666666665,24,24,-0.016562500000000036
2008-03-10,5.4444333333333335,5.462066666666667,24,24,-0.01763333333333339
2008-03-11,5.425779166666667,5.443016666666667,24,24,-0.01723750000000024
2008-03-12,5.442004166666667,5.461320833333334,24,24,-0.01931666666666665
2008-03-13,5.437483333333334,5.456441666666667,24,24,-0.018958333333332966
2008-03-14,5.520795833333334,5.533704166666666,24,24,-0.012908333333332855
2008-03-15,5.547441666666667,5.559675,24,24,-0.01223333333333354
2008-03-16,5.46485,5.481766666666667,24,24,-0.016916666666666913
2008-03-17,5.533004166666666,5.551195833333334,24,24,-0.018191666666667494
2008-03-18,5.575479166666667,5.588829166666667,24,24,-0.013349999999999973
2008-03-19,5.652958333333333,5.660270833333334,24,24,-0.007312500000000277
2008-03-20,5.6410625,5.650066666666667,24,24,-0.009004166666666258
2008-03-21,5.566225,5.582258333333333,24,24,-0.016033333333332678
2008-03-22,5.481379166666667,5.503325,24,24,-0.021945833333333553
2008-03-23,5.463166666666667,5.485308333333333,24,24,-0.022141666666666282
2008-03-24,5.452791666666666,5.476866666666667,24,24,-0.024075000000000735
2008-03-25,5.480441666666667,5.501620833333334,24,24,-0.021179166666667193
2008-03-26,5.5720833333333335,5.574633333333334,24,24,-0.0025500000000002743
2008-03-27,5.5794875,5.586675,24,24,-0.00718749999999968
2008-03-28,5.468670833333333,5.489504166666666,24,24,-0.020833333333333037
2008-03-29,5.45775,5.477475,24,24,-0.019725000000000215
2008-03-30,5.5411875,5.558979166666666,24,24,-0.017791666666665762
2008-03-31,5.751220833333333,5.7312875,24,24,0.01993333333333336
2008-04-01,5.687683333333333,5.709291666666666,24,24,-0.021608333333333007
2008-04-02,6.04925,6.0457625,24,24,0.0034874999999994216
2008-04-03,6.507991666666666,6.499370833333334,24,24,0.008620833333332634
2008-04-04,6.52705,6.530766666666667,24,24,-0.0037166666666665904
2008-04-05,6.437175,6.455275,24,24,-0.01810000000000045
2008-04-06,6.386079166666667,6.402666666666667,24,24,-0.016587499999999977
2008-04-07,6.1742333333333335,6.1869,24,24,-0.01266666666666616
2008-04-08,6.2517,6.267158333333334,24,24,-0.015458333333334018
2008-04-09,6.4530916666666664,6.4592625,24,24,-0.006170833333333903
2008-04-10,6.435779166666666,6.4505083333333335,24,24,-0.014729166666667126
2008-04-11,6.397504166666667,6.416308333333333,24,24,-0.01880416666666651
2008-04-12,6.4375333333333336,6.462541666666667,24,24,-0.025008333333333077
2008-04-13,6.521529166666666,6.523795833333334,24,24,-0.002266666666667305
2008-04-14,6.596470833333333,6.608616666666666,24,24,-0.0121458333333333
2008-04-15,6.703258333333333,6.70885,24,24,-0.0055916666666666615
2008-04-16,6.8006,6.814279166666666,24,24,-0.01367916666666602
2008-04-17,6.6606708333333335,6.68325,24,24,-0.022579166666666595
2008-04-18,6.646808333333333,6.66075,24,24,-0.013941666666666741
2008-04-19,6.645725,6.6614125,24,24,-0.0156875000000003
2008-04-20,6.6187708333333335,6.632225,24,24,-0.013454166666666545
2008-04-21,6.684833333333334,6.697429166666667,24,24,-0.01259583333333314
2008-04-22,7.023295833333333,6.9999,24,24,0.02339583333333284
2008-04-23,7.3756208333333335,7.329641666666666,24,24,0.045979166666667126
2008-04-24,7.293895833333333,7.307183333333334,24,24,-0.013287500000000563
2008-04-25,7.3179375,7.325025,24,24,-0.007087499999999913
2008-04-26,7.3630708333333335,7.368441666666667,24,24,-0.005370833333333103
2008-04-27,7.861679166666667,7.682154166666667,24,24,0.17952499999999993
2008-04-28,7.899454166666667,7.891591666666667,24,24,0.007862499999999883
2008-04-29,8.334670833333334,8.196245833333332,24,24,0.13842500000000157
2008-04-30,8.087616666666667,8.0630375,24,24,0.024579166666667263
2008-05-01,8.1526125,8.164945833333334,24,24,-0.012333333333334195
2008-05-02,8.374741666666667,8.367691666666666,24,24,0.007050000000001333
2008-05-03,8.638841666666666,8.633545833333333,24,24,0.0052958333333332774
2008-05-04,9.075116666666666,8.958545833333334,24,24,0.1165708333333324
2008-05-05,10.255579166666667,9.840445833333334,24,24,0.41513333333333335
2008-05-06,10.824875,10.707833333333333,24,24,0.11704166666666715
2008-05-07,11.448166666666667,11.36525,24,24,0.08291666666666764
2008-05-08,12.274166666666668,12.191541666666666,24,24,0.08262500000000195
2008-05-09,13.420541666666667,12.935666666666666,24,24,0.4848750000000006
2008-05-10,14.15875,13.035958333333333,24,24,1.1227916666666662
2008-05-11,14.659833333333333,13.8535,24,24,0.8063333333333329
2008-05-12,14.779708333333334,14.460916666666666,24,24,0.3187916666666677
2008-05-13,14.48025,14.440291666666667,24,24,0.039958333333332874
2008-05-14,14.7075,14.564791666666666,24,24,0.14270833333333321
2008-05-15,14.962916666666667,14.71825,24,24,0.24466666666666725
2008-05-16,15.03425,14.967958333333334,24,24,0.06629166666666642
2008-05-17,14.565708333333333,14.550125,24,24,0.015583333333333727
2008-05-18,14.282875,14.220458333333333,24,24,0.06241666666666745
2008-05-19,14.597666666666667,14.513791666666666,24,24,0.08387500000000081
2008-05-20,14.712875,14.580791666666666,24,24,0.132083333333334
2008-05-21,14.429708333333334,14.37275,24,24,0.05695833333333411
2008-05-22,14.389125,14.347791666666666,24,24,0.04133333333333411
2008-05-23,14.569833333333333,14.543625,24,24,0.026208333333332945
2008-05-24,14.296375,14.28375,24,24,0.012624999999999886
2008-05-25,13.819,13.813208333333334,24,24,0.0057916666666670835
2008-05-26,13.32,13.313375,24,24,0.006624999999999659
2008-05-27,13.134125000000001,13.122708333333334,24,24,0.011416666666667297
2008-05-28,12.997875,12.957541666666666,24,24,0.040333333333334664
2008-05-29,13.734041666666666,13.213916666666666,24,24,0.5201250000000002
2008-05-30,13.946166666666667,13.404458333333334,24,24,0.5417083333333323
2008-05-31,14.490791666666667,14.241083333333334,24,24,0.24970833333333253
2008-06-01,14.454791666666667,14.32525,24,24,0.12954166666666644
2008-06-02,14.64725,14.528791666666667,24,24,0.11845833333333289
2008-06-03,14.890375,14.84825,24,24,0.04212500000000041
2008-06-04,15.296541666666666,15.273041666666668,24,24,0.023499999999998522
2008-06-05,15.900125,15.744375,24,24,0.1557499999999994
2008-06-06,15.9375,15.855958333333334,24,24,0.0815416666666664
2008-06-07,16.437,16.183125,24,24,0.25387500000000074
2008-06-08,16.793416666666666,16.727291666666666,24,24,0.06612499999999955
2008-06-09,17.017375,16.945958333333333,24,24,0.0714166666666678
2008-06-10,17.08375,17.068041666666666,24,24,0.015708333333332547
2008-06-11,16.96120833333333,16.969083333333334,24,24,-0.007875000000002075
2008-06-12,16.848875,16.849375,24,24,-0.0004999999999988347
2008-06-13,16.759416666666667,16.742291666666667,24,24,0.017125000000000057
2008-06-14,16.39125,16.405166666666666,24,24,-0.0139166666666668
2008-06-15,16.217041666666667,16.179041666666667,24,24,0.038000000000000256
2008-06-16,16.167583333333333,16.165958333333332,24,24,0.0016250000000006537
2008-06-17,15.522874999999999,15.530458333333334,24,24,-0.007583333333334608
2008-06-18,14.897499999999999,14.884666666666666,24,24,0.01283333333333303
2008-06-19,14.765458333333333,14.740083333333333,24,24,0.02537500000000037
2008-06-20,14.962666666666667,14.969625,24,24,-0.0069583333333334
2008-06-21,14.872291666666666,14.884208333333333,24,24,-0.011916666666667908
2008-06-22,13.896791666666667,13.904083333333332,24,24,-0.007291666666665364
2008-06-23,14.170833333333334,14.166916666666667,24,24,0.0039166666666670125
2008-06-24,14.513041666666666,14.4735,24,24,0.039541666666666586
2008-06-25,14.1295,14.136166666666666,24,24,-0.0066666666666659324
2008-06-26,13.905416666666667,13.91025,24,24,-0.004833333333332135
2008-06-27,13.905291666666667,13.909625,24,24,-0.0043333333333333
2008-06-28,14.009208333333333,14.010208333333333,24,24,-0.0009999999999994458
2008-06-29,14.170333333333334,14.175333333333333,24,24,-0.004999999999999005
2008-06-30,14.26225,14.26575,24,24,-0.0035000000000007248
2008-07-01,14.571541666666667,14.567125,24,24,0.004416666666665847
2008-07-02,14.869041666666666,14.862416666666666,24,24,0.006624999999999659
2008-07-03,15.106166666666667,15.058625,24,24,0.04754166666666748
2008-07-04,15.627916666666666,15.349625,24,24,0.27829166666666616
2008-07-05,15.640333333333334,15.590833333333334,24,24,0.0495000000000001
2008-07-06,15.89375,15.821375,24,24,0.07237500000000097
2008-07-07,15.996458333333333,15.961166666666667,24,24,0.03529166666666583
2008-07-08,15.752708333333333,15.758291666666667,24,24,-0.00558333333333394
2008-07-09,15.873916666666666,15.81425,24,24,0.05966666666666676
2008-07-10,15.63075,15.633916666666666,24,24,-0.0031666666666652077
2008-07-11,15.6655,15.613541666666666,24,24,0.05195833333333333
2008-07-12,15.880833333333333,15.873541666666666,24,24,0.00729166666666714
2008-07-13,15.933375,15.927708333333333,24,24,0.005666666666666487
2008-07-14,15.845583333333334,15.837666666666667,24,24,0.007916666666666572
2008-07-15,15.891416666666666,15.894,24,24,-0.002583333333333826
2008-07-16,15.860458333333334,15.868541666666667,24,24,-0.008083333333333442
2008-07-17,15.729958333333334,15.742041666666667,24,24,-0.012083333333333002
2008-07-18,15.637583333333334,15.646666666666667,24,24,-0.009083333333332888
2008-07-19,15.843166666666667,15.812875,24,24,0.030291666666666828
2008-07-20,15.919958333333334,15.923458333333333,24,24,-0.0034999999999989484
2008-07-21,16.216041666666666,16.119208333333333,24,24,0.09683333333333266
2008-07-22,16.124416666666665,16.071333333333335,24,24,0.05308333333332982
2008-07-23,16.605666666666668,16.205750000000002,24,24,0.39991666666666603
2008-07-24,17.128041666666668,16.98725,24,24,0.14079166666666865
2008-07-25,17.767083333333332,17.679333333333332,24,24,0.08774999999999977
2008-07-26,18.153375,17.984750000000002,24,24,0.1686249999999987
2008-07-27,18.730125,18.419416666666667,24,24,0.31070833333333425
2008-07-28,19.425333333333334,19.167833333333334,24,24,0.2575000000000003
2008-07-29,19.469958333333334,19.406041666666667,24,24,0.06391666666666751
2008-07-30,18.878333333333334,18.848666666666666,24,24,0.029666666666667396
2008-07-31,18.893958333333334,18.850666666666665,24,24,0.043291666666668505
2008-08-01,18.278125,18.274291666666667,24,24,0.003833333333332689
2008-08-02,17.934083333333334,17.926625,24,24,0.007458333333332234
2008-08-03,18.143291666666666,18.14225,24,24,0.0010416666666657193
2008-08-04,18.332791666666665,18.246458333333333,24,24,0.08633333333333226
2008-08-05,18.478041666666666,18.397583333333333,24,24,0.08045833333333263
2008-08-06,18.398291666666665,18.355333333333334,24,24,0.04295833333333121
2008-08-07,18.510916666666667,18.46270833333333,24,24,0.04820833333333496
2008-08-08,18.135625,18.100458333333332,24,24,0.03516666666666879
2008-08-09,17.867625,17.878083333333333,24,24,-0.010458333333332348
2008-08-10,17.344666666666665,17.3565,24,24,-0.01183333333333536
2008-08-11,17.086291666666668,17.093416666666666,24,24,-0.007124999999998494
2008-08-12,16.9795,16.975708333333333,24,24,0.003791666666668192
2008-08-13,16.893875,16.90275,24,24,-0.008874999999999744
2008-08-14,16.745416666666667,16.758375,24,24,-0.012958333333333627
2008-08-15,16.69675,16.702583333333333,24,24,-0.005833333333331581
2008-08-16,16.672291666666666,16.683166666666665,24,24,-0.010874999999998636
2008-08-17,16.645458333333334,16.653666666666666,24,24,-0.008208333333332263
2008-08-18,16.652958333333334,16.646333333333335,24,24,0.006624999999999659
